uid,wav_path,corpus,speaker_id,gender,label,orig_label,label_id,transcript,duration,samplerate,dialogue_id,utterance_id,split
meld_train_dia0_utt0,data/raw/MELD_hf/train/dia0_utt0.flac,meld,meld_Chandler,unknown,neutral,neutral,0,also I was the point person on my company's transition from the KL-5 to GR-6 system.,5.675,16000,0,0,train
meld_train_dia0_utt1,data/raw/MELD_hf/train/dia0_utt1.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,You must've had your hands full.,1.472,16000,0,1,train
meld_train_dia0_utt2,data/raw/MELD_hf/train/dia0_utt2.flac,meld,meld_Chandler,unknown,neutral,neutral,0,That I did. That I did.,2.944,16000,0,2,train
meld_train_dia0_utt3,data/raw/MELD_hf/train/dia0_utt3.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,So let's talk a little bit about your duties.,2.773,16000,0,3,train
meld_train_dia0_utt4,data/raw/MELD_hf/train/dia0_utt4.flac,meld,meld_Chandler,unknown,surprise,surprise,4,My duties? All right.,6.485,16000,0,4,train
meld_train_dia0_utt5,data/raw/MELD_hf/train/dia0_utt5.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,"Now you'll be heading a whole division, so you'll have a lot of duties.",3.221,16000,0,5,train
meld_train_dia0_utt6,data/raw/MELD_hf/train/dia0_utt6.flac,meld,meld_Chandler,unknown,neutral,neutral,0,I see.,3.093,16000,0,6,train
meld_train_dia0_utt7,data/raw/MELD_hf/train/dia0_utt7.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,5.717,16000,0,7,train
meld_train_dia0_utt8,data/raw/MELD_hf/train/dia0_utt8.flac,meld,meld_Chandler,unknown,neutral,neutral,0,Good to know.,0.96,16000,0,8,train
meld_train_dia0_utt9,data/raw/MELD_hf/train/dia0_utt9.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,We can go into detail,2.219,16000,0,9,train
meld_train_dia0_utt10,data/raw/MELD_hf/train/dia0_utt10.flac,meld,meld_Chandler,unknown,fear,fear,5,No don't I beg of you!,2.005,16000,0,10,train
meld_train_dia0_utt11,data/raw/MELD_hf/train/dia0_utt11.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",8.32,16000,0,11,train
meld_train_dia0_utt12,data/raw/MELD_hf/train/dia0_utt12.flac,meld,meld_Chandler,unknown,surprise,surprise,4,Really?!,3.051,16000,0,12,train
meld_train_dia0_utt13,data/raw/MELD_hf/train/dia0_utt13.flac,meld,meld_The Interviewer,unknown,neutral,neutral,0,Absolutely. You can relax,3.136,16000,0,13,train
meld_train_dia1_utt0,data/raw/MELD_hf/train/dia1_utt0.flac,meld,meld_Joey,unknown,surprise,surprise,4,But then who? The waitress I went out with last month?,2.475,16000,1,0,train
meld_train_dia1_utt1,data/raw/MELD_hf/train/dia1_utt1.flac,meld,meld_Rachel,unknown,sadness,sadness,2,You know? Forget it!,2.219,16000,1,1,train
meld_train_dia1_utt2,data/raw/MELD_hf/train/dia1_utt2.flac,meld,meld_Joey,unknown,surprise,surprise,4,"No-no-no-no, no! Who, who were you talking about?",4.757,16000,1,2,train
meld_train_dia1_utt3,data/raw/MELD_hf/train/dia1_utt3.flac,meld,meld_Rachel,unknown,fear,fear,5,"No, I-I-I-I don't, I actually don't know",2.517,16000,1,3,train
